CEO,companyName,description,exchange,industry,issueType,sector,symbol,tags,website
Laurans A. Mendelson,Heico Corporation,"Heico Corp through its subsidiaries is engaged in manufacturing electronic equipment for the aviation, defense, space, medical, telecommunications and electronics industries throughout the United States and internationally.",New York Stock Exchange,Aerospace & Defense,cs,Industrials,HEI.A,"['Industrials', 'Aerospace & Defense']",http://www.heico.com
Julien R. Mininberg,Helen of Troy Limited,"Helen Of Troy Ltd is a consumer products company. It designs, develops, imports and distributes Housewares, Healthcare / Home Environment, and Personal Care products.",Nasdaq Global Select,Consumer Packaged Goods,cs,Consumer Defensive,HELE,"['Consumer Defensive', 'Household & Personal Products', 'Consumer Packaged Goods']",http://www.hotus.com
,Holly Energy Partners L.P.,"Holly Energy Partners LP is engaged in operating a system of petroleum product and crude oil pipelines, storage tanks, distribution terminals and loading rack facilities.",New York Stock Exchange,Oil & Gas - Midstream,cs,Energy,HEP,"['Energy', 'Oil & Gas Midstream', 'Oil & Gas - Midstream']",http://www.hollyenergy.com
,John Hancock Hedged Equity & Income Fund of Beneficial Interest,John Hancock Hedged Equity & Income Fund is a closed-end management investment company. Its investment objective is to provide total return with a focus on current income and gains and also consisting of long-term capital appreciation.,New York Stock Exchange,Asset Management,cs,Financial Services,HEQ,"['Financial Services', 'Asset Management']",http://www.jhinvestments.com
John B. Hess,Hess Corporation,"Hess Corp is an oil and gas company involved in the exploration, development, production, transportation, purchase and sale of crude oil, natural gas liquids, and natural gas with production operations.",New York Stock Exchange,Oil & Gas - E&P,cs,Energy,HES,"['Energy', 'Oil & Gas E&P', 'Oil & Gas - E&P']",http://www.hess.com
John B. Hess,Hess Midstream Partners LP Representing Limited Partner Interests,"Hess Midstream Partners LP owns, operates, develops and acquires a diverse set of midstream assets to provide services to Hess and third-party customers. Its segments are Gathering, Processing and Storage and Terminaling and Export.",New York Stock Exchange,Oil & Gas - Midstream,cs,Energy,HESM,"['Energy', 'Oil & Gas Midstream', 'Oil & Gas - Midstream']",http://www.hessmidstream.com
Mark D. Gibson,HFF Inc. Class A,"HFF Inc is a commercial real estate and capital markets services provider. The company acts as an investment bank and broker to ensure debt placement, investment sales, structured finance, loan sales and commercial loan servicing.",New York Stock Exchange,Real Estate Services,cs,Real Estate,HF,"['Real Estate', 'Real Estate Services']",http://www.hfflp.com
John E. Peck,HopFed Bancorp Inc.,HopFed Bancorp Inc serves as a savings and loan holding company. The Bank attracts deposits from the general public and investing such deposits in loans secured by single family residential real estate and investment securities.,NASDAQ Global Market,Banks,cs,Financial Services,HFBC,"['Financial Services', 'Savings & Cooperative Banks', 'Banks']",http://www.bankwithheritage.com
James R. Barlow,Home Federal Bancorp Inc. of Louisiana,"Home Federal Bancorp Inc of louisiana operates as the holding company for Home Federal Bank. It offers financial services to individuals, corporate entities and other organizations in northwest Louisiana.",NASDAQ Capital Market,Banks,cs,Financial Services,HFBL,"['Financial Services', 'Savings & Cooperative Banks', 'Banks']",http://www.homefederalbancorp.com
George J. Damiris,HollyFrontier Corporation,"HollyFrontier Corp is a petroleum refiner producing light products such as gasoline, diesel fuel, jet fuel, specialty lubricant products, and specialty and modified asphalt. Its products are supplied to refiners, convenience store chains and retailers.",New York Stock Exchange,Oil & Gas - Refining & Marketing,cs,Energy,HFC,"['Energy', 'Oil & Gas Refining & Marketing', 'Oil & Gas - Refining & Marketing']",http://www.hollyfrontier.com
Zhou Min Ni,HF Foods Group Inc.,,NASDAQ Capital Market,Retail - Defensive,cs,Consumer Defensive,HFFG,"['Industrials', 'Conglomerates', 'Consumer Defensive', 'Food Distribution', 'Retail - Defensive']",
Frank Waterhouse,Highland Floating Rate Opportunities Fund,"Highland Floating Rate Opportunities Fund is a United States based non-diversified, closed-end management investment company. Its investment objective is to provide a high level of current income, consistent with preservation of capital.",New York Stock Exchange,Asset Management,cs,Financial Services,HFRO,"['Financial Services', 'Asset Management']",http://www.highlandfunds.com
Brian L. Vance,Heritage Financial Corporation,Heritage Financial Corp is a bank holding company. The company through its subsidiary provides commercial lending and deposit relationships with small businesses and their owners in its market areas and attracting deposits from the general public.,Nasdaq Global Select,Banks,cs,Financial Services,HFWA,"['Financial Services', 'Banks - Regional - US', 'Banks']",http://www.hf-wa.com
Xiaojun Zhu,China HGS Real Estate Inc.,"China HGS Real Estate Inc along with its subsidiaries is engaged in real estate development activities. It is primarily in the construction and sale of residential apartments, car parks, and commercial properties.",NASDAQ Capital Market,Real Estate Services,cs,Real Estate,HGSH,"['Real Estate', 'Real Estate - General', 'Real Estate Services']",http://www.chinahgs.com
Mark D. Wang,Hilton Grand Vacations Inc.,"Hilton Grand Vacations Inc. is a timeshare company that markets and sells vacation ownership intervals (VOI), manages resorts in leisure and urban destinations, and operates a points-based vacation club.",New York Stock Exchange,Travel & Leisure,cs,Consumer Cyclical,HGV,"['Consumer Cyclical', 'Resorts & Casinos', 'Travel & Leisure']",http://www.hiltongrandvacations.com
David Weinreb,The Howard Hughes Corporation,The Howard Hughes Corp is a real estate company. It is in the development of master planned communities and other strategic real estate development opportunities across the United States.,New York Stock Exchange,Real Estate Services,cs,Real Estate,HHC,"['Real Estate', 'Real Estate - General', 'Real Estate Services']",http://www.howardhughes.com
Timothy E. Breen,Harte-Hanks Inc.,"Harte-Hanks Inc is a multi-channel marketing company. The marketing services offered include agency and digital services, database marketing solutions and business-to-business lead generation, direct mail and contact centers.",New York Stock Exchange,Advertising & Marketing Services,cs,Consumer Cyclical,HHS,"['Consumer Cyclical', 'Marketing Services', 'Advertising & Marketing Services']",http://www.hartehanks.com
Joe A. Raver,Hillenbrand Inc,"Hillenbrand Inc is a diversified industrial company that makes and sells premium business-to-business products and services. Its segments include, the Process Equipment Group and Batesville.",New York Stock Exchange,Industrial Products,cs,Industrials,HI,"['Industrials', 'Diversified Industrials', 'Industrial Products']",http://www.Hillenbrand.com
Jeffry O. Rosenthal,Hibbett Sports Inc.,"Hibbett Sports Inc is a United States-based operator of sporting goods retail stores in small to mid-sized markets mainly in the Southeast, Southwest, Mid-Atlantic and the Midwest.",Nasdaq Global Select,Retail - Apparel & Specialty,cs,Consumer Cyclical,HIBB,"['Consumer Cyclical', 'Specialty Retail', 'Retail - Apparel & Specialty']",http://www.hibbett.com
,Miller/Howard High Income Equity Fund of Beneficial Interest,"Miller/Howard High Income Equity Fund is a closed-end, non-diversified management investment company. The fund's primary investment objective is to seek a high level of current income.",New York Stock Exchange,Asset Management,cs,Financial Services,HIE,"['Financial Services', 'Asset Management']",http://www.mhinvest.com
David Campbell,InfraREIT Inc.,"InfraREIT Inc owns regulated electricity delivery infrastructure assets in Texas and the southwestern US. Its assets are spread across Texas which include power lines, substations, transmission towers managed externally managed by Hunt Utility Services.",New York Stock Exchange,REITs,cs,Real Estate,HIFR,"['Real Estate', 'REIT - Diversified', 'REITs']",http://www.infrareitinc.com
Robert Gaughen,Hingham Institution for Savings,"Hingham Institution for Savings is a savings bank situated in Hingham, Massachusetts. It is involved in the business of residential and commercial real estate mortgage lending and also financial and banking services.",NASDAQ Global Market,Banks,cs,Financial Services,HIFS,"['Financial Services', 'Savings & Cooperative Banks', 'Banks']",http://www.hinghamsavings.com
Christopher J. Swift,Hartford Financial Services Group Inc. (The),Hartford Financial Services Group Inc provides insurance and financial services to individual and business customers in the United States.,New York Stock Exchange,Insurance,cs,Financial Services,HIG,"['Financial Services', 'Insurance - Diversified', 'Insurance']",http://www.thehartford.com
Roland W. Kohl,Highway Holdings Limited,"Highway Holdings Ltd is a holding company. It manufactures and supplies various metal, plastic and electric parts, components and products to its original equipment manufacturing (OEM) clients.",NASDAQ Capital Market,Industrial Products,cs,Industrials,HIHO,"['Industrials', 'Metal Fabrication', 'Industrial Products']",http://www.highwayholdings.com
C. Michael Petters,Huntington Ingalls Industries Inc.,"Huntington Ingalls Industries Inc is engaged in designing, building, overhauling & repairing ships for United States Navy and Coast Guard. The company also provides refueling and complex overhaul services for nuclear-powered aircraft carriers.",New York Stock Exchange,Aerospace & Defense,cs,Industrials,HII,"['Industrials', 'Aerospace & Defense']",http://www.huntingtoningalls.com
Gavin Southwell,Health Insurance Innovations Inc.,"Health Insurance Innovations Inc is a developer, distributor and cloud-based administrator of affordable individual health and family insurance plans including short-term medical insurance plans, guaranteed-issue and underwritten hospital indemnity plans.",NASDAQ Global Market,Health Care Plans,cs,Healthcare,HIIQ,"['Healthcare', 'Health Care Plans']",http://www.hiiquote.com
Raouf S. Ghali,Hill International Inc.,Hill International Inc provides professional services. It has project management services and construction claims services segments.,New York Stock Exchange,Business Services,cs,Industrials,HIL,"['Industrials', 'Business Services']",http://www.hillintl.com
Jordan Wu,Himax Technologies Inc.,"Himax Technologies Inc is a fabless semiconductor solution provider dedicated to display imaging processing technologies. It offers display driver ICs and timing controllers used in TVs, laptops, monitors, mobile phones, tablets, and digital cameras.",Nasdaq Global Select,Semiconductors,cs,Technology,HIMX,"['Technology', 'Semiconductors']",http://www.himax.com.tw
Jane E. Trust,Western Asset High Income Opportunity Fund Inc.,Western Asset High Income Oppor Fd Inc is a diversified closed-end management investment company. The company's primary objective is to seek high current income and capital appreciation is a secondary objective.,New York Stock Exchange,Asset Management,cs,Financial Services,HIO,"['Financial Services', 'Asset Management']",http://www.leggmason.com
David K. Flynn,Aerohive Networks Inc.,"Aerohive Networks Inc designs and develops cloud networking and enterprise wi-fi solutions in Americas, Europe, the Middle East and Africa, and the Asia Pacific region.",New York Stock Exchange,Communication Equipment,cs,Technology,HIVE,"['Technology', 'Communication Equipment']",http://www.aerohive.com
Edward J. Fritsch,Highwoods Properties Inc.,"Highwoods Properties Inc is a real estate investment trust. The firm provides leasing, management, development, construction and other customer-related services for its properties and for third parties.",New York Stock Exchange,REITs,cs,Real Estate,HIW,"['Real Estate', 'REIT - Office', 'REITs']",http://www.highwoods.com
Jane E. Trust,Western Asset High Income Fund II Inc.,Western Asset High Income Fund II Inc is a diversified closed-end management investment company. Its objective is to maximize current income by investing at least 80% of its net assets and borrowings for investment purposes in high-yield debt securities.,New York Stock Exchange,Asset Management,cs,Financial Services,HIX,"['Financial Services', 'Asset Management']",https://www.leggmason.com
Robert A. Berman,Hancock Jaffe Laboratories Inc.,"Hancock Jaffe Laboratories Inc development stage medical device company. It develops and sells biological tissue solutions to treat patients with coronary, vascular, end stage renal and peripheral arterial diseases in the United States and Europe.",NASDAQ Capital Market,Medical Devices,cs,Healthcare,HJLI,"['Healthcare', 'Medical Devices']",http://www.hancockjaffe.com
Floyd C. Wilson,Halcon Resources Corporation,"Halcon Resources Corp is an independent oil and natural gas company. It is engaged in the acquisition, production, exploration and development of onshore liquids-rich oil and natural gas assets in the United States.",New York Stock Exchange,Oil & Gas - E&P,cs,Energy,HK,"['Energy', 'Oil & Gas E&P', 'Oil & Gas - E&P']",http://www.halconresources.com
Phillips S. Baker,Hecla Mining Company,"Hecla Mining Co produces lead, zinc and bulk concentrates, which it sells to custom smelters, and unrefined bullion bars containing gold and silver, which are further refined before sale to precious metals traders.",New York Stock Exchange,Metals & Mining,cs,Basic Materials,HL,"['Basic Materials', 'Gold', 'Metals & Mining']",http://www.hecla-mining.com
Richard P. Goudis,Herbalife Nutrition Ltd.,"Herbalife Nutrition Ltd is a nutrition company. The company has five revenue segments: Weight Management; Targeted Nutrition; Energy, Sports, and Fitness; Outer Nutrition; and Literature, Promotional, and Other.",New York Stock Exchange,Consumer Packaged Goods,cs,Consumer Defensive,HLF,"['Consumer Defensive', 'Household & Personal Products', 'Consumer Packaged Goods']",http://www.herbalife.com
Ming Wang,Hailiang Education Group Inc.,"Hailiang Education Group Inc is provider of private K-12 educational services in China. It operates centrally managed schools including Zhuji Hailiang Foreign Language School, Zhuji Private High School and Tianma Experimental School.",NASDAQ Global Market,Education,cs,Consumer Defensive,HLG,"['Consumer Defensive', 'Education & Training Services', 'Education']",http://www.hailiangschool.com
Scott L. Beiser,Houlihan Lokey Inc. Class A,"Houlihan Lokey Inc is an investment bank with expertise in mergers and acquisitions, capital markets and strategic consulting. It operates in three segments namely, Corporate Finance, Financial Restructuring and Financial Advisory Services.",New York Stock Exchange,Brokers & Exchanges,cs,Financial Services,HLI,"['Financial Services', 'Capital Markets', 'Brokers & Exchanges']",http://www.hl.com
Patrick J. Harshman,Harmonic Inc.,"Harmonic Inc designs, manufactures and sells video infrastructure products and system solutions. It enables service providers to efficiently deliver the next generation of broadcast and on-demand services.",Nasdaq Global Select,Communication Equipment,cs,Technology,HLIT,"['Technology', 'Communication Equipment']",http://www.harmonicinc.com
Mario L. Giannini,Hamilton Lane Incorporated,"Hamilton Lane Inc is a holding company. The Company through its holdings is a registered investment adviser providing asset management and advisory services, primarily to institutional investors, to design, build and manage private markets portfolios.",Nasdaq Global Select,Asset Management,cs,Financial Services,HLNE,"['Financial Services', 'Capital Markets', 'Brokers & Exchanges', 'Asset Management']",http://www.hamiltonlane.com
Christopher J. Nassetta,Hilton Worldwide Holdings Inc.,"Hilton Worldwide Holdings Inc operates hotels and resorts. The company manages a total or approximately 750,000 rooms across over 10 brands. Some of its brands include Hampton, Hilton, Home2, Curio, Canopy, and Tru.",New York Stock Exchange,Travel & Leisure,cs,Consumer Cyclical,HLT,"['Consumer Cyclical', 'Lodging', 'Travel & Leisure']",http://www.hiltonworldwide.com
James G. Springfield,Nobilis Health Corp.,"Nobilis Health Corp is a full-service healthcare development and management company, with 24 locations across Texas and Arizona, including 4 hospitals, 10 ASCs and 10 clinics. It also partners with another 35 facilities.",NYSE American,Health Care Providers,cs,Healthcare,HLTH,"['Healthcare', 'Medical Care', 'Health Care Providers']",http://www.nobilishealth.com
Owen E. Kratz,Helix Energy Solutions Group Inc.,"Helix Energy Solutions Group Inc is an offshore energy services company that provides specialty services to the offshore energy industry, with emphasis on well intervention and robotics operations.",New York Stock Exchange,Oil & Gas - Services,cs,Energy,HLX,"['Energy', 'Oil & Gas Equipment & Services', 'Oil & Gas - Services']",http://www.helixesg.com
Takahiro Hachigo,Honda Motor Company Ltd.,"Honda Motor Co Ltd develops, manufactures and markets motorcycles, automobiles and power products. The company produces motorcycles with engine displacement ranging from the 50cc to the 1800cc class. It produces all-terrain and side-by-side vehicles.",New York Stock Exchange,Autos,cs,Consumer Cyclical,HMC,"['Consumer Cyclical', 'Auto Manufacturers', 'Autos']",http://www.honda.co.jp
Maurice Wiener,HMG/Courtland Properties Inc.,HMG/Courtland Properties Inc is the real estate investment trust. The company's business is the ownership and management of income-producing commercial properties.,NYSE American,REITs,cs,Real Estate,HMG,"['Real Estate', 'REIT - Retail', 'REITs']",http://www.hmgcourtland.com
John J. Lynch,Houghton Mifflin Harcourt Company,"Houghton Mifflin Harcourt Co provides content, services and technology to both educational institutions and consumers, reaching over 50 million students in more than 150 countries. It also published trade and reference materials.",Nasdaq Global Select,Education,cs,Consumer Defensive,HMHC,"['Consumer Defensive', 'Education & Training Services', 'Education']",http://www.hmhco.com
Wang Huang,Huami Corporation American Depositary Shares each representing four Class A,"Huami Corp is a biometric and activity data-driven company. It is engaged in developing, manufacturing, and selling smart wearable devices in the People's Republic of China. The company produces its product under the brand name Amazfit.",New York Stock Exchange,Computer Hardware,cs,Technology,HMI,"['Technology', 'Scientific & Technical Instruments', 'Computer Hardware']",http://www.huami.com
Richard Tyrrell,Hoegh LNG Partners LP representing Limited Partner Interests,"Hoegh LNG Partners LP owns and operates floating storage and regasification units (FSRUs), under long-term charters, which it defines as charters of five or more years.",New York Stock Exchange,Transportation & Logistics,cs,Industrials,HMLP,"['Industrials', 'Shipping & Ports', 'Transportation & Logistics']",http://www.hoeghlngpartners.com
Marita Zuraitis,Horace Mann Educators Corporation,"Horace Mann Educators Corp is an insurance holding company. The company markets and underwrites personal lines of property and casualty insurance, retirement products and life insurance in the United States of America.",New York Stock Exchange,Insurance,cs,Financial Services,HMN,"['Financial Services', 'Insurance - Diversified', 'Insurance']",http://www.horacemann.com
Bradley C. Krehbiel,HMN Financial Inc.,"HMN Financial Inc is a stock savings bank holding company that owns 100% of Home Federal Savings Bank. It operates retail banking and loan production facilities in Minnesota, Iowa, and Wisconsin.",NASDAQ Global Market,Banks,cs,Financial Services,HMNF,"['Financial Services', 'Savings & Cooperative Banks', 'Banks']",http://www.hmnf.com
Theodore Farnsworth,Helios and Matheson Analytics Inc,"Helios and Matheson Analytics Inc provides IT solutions and services. Its services include application value management, application development, integration, independent validation and infrastructure services.",NASDAQ Capital Market,Application Software,cs,Technology,HMNY,"['Technology', 'Information Technology Services', 'Application Software']",http://www.hmny.com
Mark K. Mason,HomeStreet Inc.,HomeStreet Inc is a diversified financial services company. It is engaged in real estate lending. Its operating segment includes Commercial and Consumer Banking Segment and Mortgage Banking Segment.,Nasdaq Global Select,Banks,cs,Financial Services,HMST,"['Financial Services', 'Savings & Cooperative Banks', 'Banks']",https://www.homestreet.com
William C. Lucia,HMS Holdings Corp,"HMS Holdings Corp is a United States-based holding company. It operates in the healthcare insurance benefit cost containment marketplace. The company's primary offerings comprise coordination of benefits, payment integrity and eligibility verification.",Nasdaq Global Select,Business Services,cs,Industrials,HMSY,"['Industrials', 'Business Services']",http://www.hms.com
Susan King Still,HomeTown Bankshares Corporation,"HomeTown Bankshares Corp is a bank holding company. The company through its holding provides banking services to individuals, small and medium-sized businesses, and larger companies.",NASDAQ Capital Market,Banks,cs,Financial Services,HMTA,"['Financial Services', 'Banks - Regional - US', 'Banks']",https://www.hometownbank.com
Alan J. Sokol,Hemisphere Media Group Inc.,Hemisphere Media Group Inc is a Spanish language media company. It is engaged in pure-play U.S. Spanish-language TV/cable network business.,NASDAQ Global Market,Communication Services,cs,Communication Services,HMTV,"['Communication Services', 'Pay TV']",http://www.hemispheretv.com
Peter Steenkamp,Harmony Gold Mining Company Limited,"Harmony Gold Mining Co Ltd is a gold mining and exploration company. Its projects include Bambanani, Doornkop, Joel, Kusasalethu, Masimong, Phakisa, among others.",New York Stock Exchange,Metals & Mining,cs,Basic Materials,HMY,"['Basic Materials', 'Gold', 'Metals & Mining']",http://www.harmony.co.za
Vinit K. Asar,Hanger Inc.,"Hanger Inc is a provider of services and products that enhance human physical capabilities. It provides orthotic & prosthetic patient-care services, distributes O&P devices & components, manage O&P networks, and provide therapeutic solutions.",New York Stock Exchange,Health Care Providers,cs,Healthcare,HNGR,"['Healthcare', 'Medical Care', 'Health Care Providers']",http://www.hanger.com
Jeffrey D. Lorenger,HNI Corporation,"HNI Corp provides office furniture and hearth products. It manufactures and markets products including metal and wood commercial and home office furniture and gas, electric, wood and biomass burning fireplaces and stoves for home.",New York Stock Exchange,Industrial Products,cs,Industrials,HNI,"['Industrials', 'Business Equipment', 'Industrial Products']",http://www.hnicorp.com
Neil J. Hennessy,Hennessy Advisors Inc.,"Hennessy Advisors Inc is a publicly traded investment management firm. The Company is engaged in managing, servicing and marketing open-end mutual funds, the Hennessy Funds.",NASDAQ Capital Market,Asset Management,cs,Financial Services,HNNA,"['Financial Services', 'Asset Management']",http://www.hennessyadvisors.com
,Huaneng Power Intl,"Huaneng Power International Inc is an independent power producer. The company is engaged in developing, constructing, operating and managing power plants throughout China.",New York Stock Exchange,Utilities - Independent Power Producers,cs,Utilities,HNP,"['Utilities', 'Utilities - Diversified', 'Utilities - Regulated', 'Utilities - Independent Power Producers']",http://www.hpi.com.cn
Brent K. Bilsland,Hallador Energy Company,"Hallador Energy Co is primarily a coal mining company with operations in Indiana, USA, and it is part of the electric power generation industry. The company also has equity interests in oil and gas exploration companies in both Indiana and Michigan.",NASDAQ Capital Market,Coal,cs,Basic Materials,HNRG,"['Basic Materials', 'Coal']",http://www.halladorenergy.com
Lisa Jones,Pioneer Diversified High Income Trust of Beneficial Interest,Pioneer Diversified High Income Trust is a closed-end investment fund in the United States. Its business involves investing primarily in high yield bonds to earn a high level of current income and capital appreciation.,NYSE American,Asset Management,cs,Financial Services,HNW,"['Financial Services', 'Asset Management']",http://www.pioneerinvestments.com
Paul B. Toms,Hooker Furniture Corporation,"Hooker Furniture Corp is a designer, marketer, importer of casegoods, leather and fabric-upholstered furniture for the residential, hospitality and contract markets. It also manufactures residential custom leather- and custom fabric-upholstered furniture.",Nasdaq Global Select,Manufacturing - Apparel & Furniture,cs,Consumer Cyclical,HOFT,"['Consumer Cyclical', 'Home Furnishings & Fixtures', 'Manufacturing - Apparel & Furniture']",http://www.hookerfurniture.com
Matthew S. Levatich,Harley-Davidson Inc.,"Harley-Davidson Inc produces and sells heavyweight motorcycles, as well as offers motorcycle parts, accessories, and related services. It operates in two segments, Motorcycles and Related Products, and Financial Services.",New York Stock Exchange,Autos,cs,Consumer Cyclical,HOG,"['Consumer Cyclical', 'Recreational Vehicles', 'Autos']",http://www.harley-davidson.com
Baiqing Shao,Hollysys Automation Technologies Ltd.,"Hollysys Automation Technologies Ltd is a provider of automation and control technologies and applications in China. Its services include online equipment management services, upgrade services, inspection services, and among others.",Nasdaq Global Select,Industrial Products,cs,Industrials,HOLI,"['Industrials', 'Diversified Industrials', 'Industrial Products']",http://www.hollysys.com.sg
Stephen P. Macmillan,Hologic Inc.,"Hologic Inc develops, manufactures and supplies diagnostics products, medical imaging systems and surgical products for women's health. Its products are used in diagnosis of human diseases and screen donated human blood and plasma.",Nasdaq Global Select,Medical Instruments & Equipment,cs,Healthcare,HOLX,"['Healthcare', 'Medical Instruments & Supplies', 'Medical Instruments & Equipment']",http://www.hologic.com
C. Randall Sims,Home BancShares Inc.,"Home BancShares Inc is active in the financial services sector in the United States. The bank provides a broad range of commercial and retail banking, as well as related financial services. The bank's main source of net revenue is net interest income.",Nasdaq Global Select,Banks,cs,Financial Services,HOMB,"['Financial Services', 'Banks - Regional - US', 'Banks']",http://www.homebancshares.com
Lewis L. Bird,At Home Group Inc.,"At Home Group Inc is a home decor superstore. The company is engaged in providing assortment of products for every room, in every style at everyday low prices.",New York Stock Exchange,Retail - Apparel & Specialty,cs,Consumer Cyclical,HOME,"['Consumer Cyclical', 'Specialty Retail', 'Retail - Apparel & Specialty']",http://www.athome.com
Darius Adamczyk,Honeywell International Inc.,"Honeywell International Inc is a diversified technology and manufacturing company serving customers with aerospace products and services, energy efficient products and solutions, specialty chemicals, electronic, refining and petrochemicals.",New York Stock Exchange,Industrial Products,cs,Industrials,HON,"['Industrials', 'Diversified Industrials', 'Industrial Products']",http://www.honeywell.com
James W. Blake,HarborOne Bancorp Inc.,"HarborOne Bancorp Inc is a bank holding company. The company through its subsidiary offers traditional deposit accounts, including checking accounts, savings accounts, money market accounts and certificate of deposit accounts.",Nasdaq Global Select,Banks,cs,Financial Services,HONE,"['Financial Services', 'Savings & Cooperative Banks', 'Banks']",https://www.harborone.com
Kevin Sung Kim,Hope Bancorp Inc.,Hope Bancorp Inc operates in the financial service sector. It provides banking products to small and medium-sized businesses.,Nasdaq Global Select,Banks,cs,Financial Services,HOPE,"['Financial Services', 'Banks - Regional - US', 'Banks']",http://www.bankofhope.com
Todd M. Hornbeck,Hornbeck Offshore Services,"Hornbeck Offshore Services Inc owns and operates Offshore Support Vessels and Multi-Purpose Supply Vessels. These vessels support deep-well, deepwater and ultra-deepwater activities of the offshore oil and gas industry.",New York Stock Exchange,Oil & Gas - Services,cs,Energy,HOS,"['Energy', 'Oil & Gas Equipment & Services', 'Oil & Gas - Services']",http://www.hornbeckoffshore.com
Ara K. Hovnanian,Hovnanian Enterprises Inc. Class A,"Hovnanian Enterprises Inc is an American construction company. It designs, constructs, markets and sells single-family detached homes, attached townhomes and condominiums, urban infill and active lifestyle homes in planned residential developments.",New York Stock Exchange,Homebuilding & Construction,cs,Consumer Cyclical,HOV,"['Consumer Cyclical', 'Residential Construction', 'Homebuilding & Construction']",http://www.khov.com
John W. Lindsay,Helmerich & Payne Inc.,"Helmerich & Payne Inc is engaged in contract drilling of oil and gas wells for oil and gas exploration and production companies. Its business comprises of three reportable segments, U.S. Land, Offshore and International Land.",New York Stock Exchange,Oil & Gas - Drilling,cs,Energy,HP,"['Energy', 'Oil & Gas Drilling', 'Oil & Gas - Drilling']",http://www.hpinc.com
Antonio Fabio Neri,Hewlett Packard Enterprise Company,"Hewlett Packard Enterprise Co is a communication equipment company that provides servers, storage, networking and technology services. Its business segments are Enterprise Group, Software, Enterprise Services, Financial Services and Corporate Investments.",New York Stock Exchange,Communication Equipment,cs,Technology,HPE,"['Technology', 'Communication Equipment']",https://www.hpe.com
,John Hancock Pfd Income Fund II Pfd Income Fund II,"John Hancock Preferred Income Fund II is a United States based closed-end, diversified management investment company. Its primary objective is to provide a high level of current income consistent with preservation of capital.",New York Stock Exchange,Asset Management,cs,Financial Services,HPF,"['Financial Services', 'Asset Management']",http://www.jhinvestments.com
,John Hancock Preferred Income Fund of Beneficial Interest,"John Hancock Preferred Income Fund is a closed-end, diversified management investment company. Its investment objective is to provide a high level of current income consistent with preservation of capital.",New York Stock Exchange,Asset Management,cs,Financial Services,HPI,"['Financial Services', 'Asset Management']",http://www.jhinvestments.com
Dang Yu Pan,Highpower International Inc,"Highpower International Inc is mainly involved in the production of lithium batteries, which are used for a variety of applications such as mobile devices and wireless communication products. It sells mainly in the Chinese market.",NASDAQ Global Market,Computer Hardware,cs,Technology,HPJ,"['Technology', 'Electronic Components', 'Computer Hardware']",http://www.highpowertech.com
Victor J. Coleman,Hudson Pacific Properties Inc.,"Hudson Pacific Properties Inc is a real estate investment trust engaged in owning, operating and acquiring office properties and media and entertainment properties in selected growth markets in Northern and Southern California and the Pacific Northwest.",New York Stock Exchange,REITs,cs,Real Estate,HPP,"['Real Estate', 'REIT - Office', 'REITs']",http://www.hudsonpacificproperties.com
Dion J. Weisler,HP Inc.,"HP Inc provides products, technologies, software, solutions and services to individual consumers, small- and medium-sized businesses including customers in the government, health and education sectors.",New York Stock Exchange,Computer Hardware,cs,Technology,HPQ,"['Technology', 'Computer Systems', 'Computer Hardware']",http://www.hp.com
,John Hancock Preferred Income Fund III Preferred Income Fund III,"John Hancock Preferred Income Fund III is a closed-end management investment company. Its investment objective is to provide a high level of current income consistent with preservation of capital, and to provide growth of capital.",New York Stock Exchange,Asset Management,cs,Financial Services,HPS,"['Financial Services', 'Asset Management']",http://www.jhinvestments.com
John G. Murray,Hospitality Properties Trust,Hospitality Properties Trust is a real estate investment trust providing capital to owners and operators in hospitality industries. Its segments consist of hotel real estate investments and travel center real estate investment.,Nasdaq Global Select,REITs,cs,Real Estate,HPT,"['Real Estate', 'REIT - Hotel & Motel', 'REITs']",http://www.hptreit.com
Seong Woo Nam,Hanwha Q CELLS Co. Ltd.,Hanwha Q CELLS Co Ltd is a solar product's manufacturer. Its core business involves the development of solar modules and management of downstream solar farms.,Nasdaq Global Select,Semiconductors,cs,Technology,HQCL,"['Technology', 'Solar', 'Semiconductors']",https://www.hanwha-qcells.com
,Tekla Healthcare Investors,Tekla Healthcare Investors is a United States based non-diversified closed-end management investment company. Its objective is to seek long-term capital appreciation by investing primarily in securities of healthcare companies.,New York Stock Exchange,Asset Management,cs,Financial Services,HQH,"['Financial Services', 'Asset Management']",http://www.teklacap.com
,TeklaLife Sciences Investors,Tekla Life Sciences Investors is a United States based closed-end management investment company. Its investment objective is to seek long-term capital appreciation by investing primarily in the securities of life sciences companies.,New York Stock Exchange,Asset Management,cs,Financial Services,HQL,"['Financial Services', 'Asset Management']",http://www.teklacap.com
Jon Kessler,HealthEquity Inc.,"HealthEquity Inc is a technology-enabled services platform that empowers consumers to make healthcare saving and spending decisions. Its products & services include healthcare saving & spending platform, health savings accounts, and healthcare incentives.",Nasdaq Global Select,Application Software,cs,Technology,HQY,"['Technology', 'Health Information Services', 'Application Software']",http://www.healthequity.com
